BATT_SW	17.61	58.67	270.00	JS102011SAQN	SW_JS102011SAQN
C1	28.07	76.45	270.00	100nf	CAPC1608X87N
C14	35.34	71.30	0.00	1uF	0603
C15	51.31	65.79	0.00	100nf	CAPC1608X87N
C16	51.31	66.93	0.00	10nf	CAPC1608X87N
C17	28.83	71.63	270.00	100nf	CAPC1608X87N
C18	18.80	42.67	270.00	100nf	CAPC1608X87N
C19	19.94	42.67	90.00	100nf	CAPC1608X87N
C20	21.59	78.61	0.00	1uf	CAPC1608X87N
C21	21.59	77.47	0.00	10nf	CAPC1608X87N
C22	28.83	68.96	270.00	1uf	CAPC1608X87N
C23	28.83	74.17	270.00	100nf	CAPC1608X87N
C24	20.32	70.23	90.00	100nf	CAPC1608X87N
C25	21.46	72.77	90.00	100nf	CAPC1608X87N
CHRG	25.40	43.05	90.00	Green	LEDC2012X80N
D1	25.65	70.48	0.00	1N5819HW-7	SOD3715X145N
ESP32	37.15	55.25	270.00	ESP32-WROOM-32D	MODULE_ESP32-WROOM-32D
IC1	23.62	64.39	0.00	FT231XS-R	SOP64P599X175-20N
IC2	26.16	74.17	90.00	M3406-ADJ	SOT95P280X100-5N
IC6	17.02	65.28	270.00	DW01A	SOT23-6
L1	23.37	73.91	90.00	MLF2012A2R2KT000	INDC2012X105N
LED	42.29	43.05	90.00	Green	LEDC2012X80N
Q1	31.50	71.25	270.00	MMBT3904-TP	SI2305TP
Q2	31.50	74.55	270.00	MMBT3904-TP	SI2305TP
Q4	25.27	56.13	270.00	FS8205A	SOP65P640X120-8N
R1	26.04	76.84	0.00	10k	RESC1608X55N
R10	34.93	42.67	90.00	330	ERJH3
R12	38.48	42.67	90.00	330	ERJH3
R13	27.18	43.31	270.00	1k	RESC1608X55N
R14	21.46	42.80	270.00	1k	RESC1608X55N
R15	22.86	53.98	90.00	1.2k	RESC1608X55N
R16	20.32	72.90	90.00	100	RESC1608X55N
R17	18.29	78.11	0.00	1k	RESC1608X55N
R2	22.61	76.07	0.00	40k2	RESC1608X55N
R3	29.97	65.66	0.00	10k	RESC1608X55N
R4	29.72	67.06	180.00	40k2	RESC1608X55N
R51	51.18	68.20	180.00	10k	RESC1608X55N
R7	31.24	76.96	180.00	10k	RESC1608X55N
R8	31.24	78.23	180.00	10k	RESC1608X55N
R9	40.89	45.09	0.00	330	ERJH3
RX	40.13	43.05	90.00	Green	LEDC2012X80N
STBY	23.24	43.05	90.00	Green	LEDC2012X80N
TX	36.70	43.05	90.00	Green	LEDC2012X80N
U3	24.38	48.77	90.00	TP4056	SOP127P600X175-9N
U6	21.46	58.55	270.00	SI2301BDS-T1-E3	SOT95P237X112-3N
USB	20.63	48.90	270.00	TYPE-C-31-M-12	HRO_TYPE-C-31-M-12
